,fossil_fuel,renewable,other
0,5110.1845703125,10444.521484375,10436.482421875
1,5110.1845703125,10356.271484375,10329.1875
2,5107.8427734375,10248.66796875,10284.9736328125
3,5115.49267578125,10164.11328125,10214.5673828125
4,5129.55859375,10164.11328125,10200.3671875
5,5129.55859375,10161.6474609375,10144.7099609375
6,5129.55859375,10162.4501953125,10103.7939453125
7,5114.04345703125,10183.0869140625,10085.7861328125
8,5110.35107421875,10191.8564453125,10056.541015625
9,5098.6416015625,10191.8564453125,10011.5341796875
10,5092.4365234375,10192.5751953125,9980.8369140625
11,5088.69677734375,10180.716796875,9938.0703125
12,5088.69677734375,10179.3203125,9919.763671875
13,5095.28662109375,10180.1748046875,9878.8603515625
14,5098.07470703125,10180.1748046875,9842.2392578125
15,5098.07470703125,10179.1748046875,9829.8876953125
16,5103.4375,10179.1748046875,9788.0126953125
17,5107.4580078125,10179.1748046875,9764.6484375
18,5106.94287109375,10179.1748046875,9731.65234375
19,5106.05322265625,10179.1748046875,9681.3388671875
20,5106.05322265625,10179.1748046875,9639.1513671875
21,5108.39501953125,10177.8583984375,9621.451171875
22,5108.39501953125,10177.8583984375,9561.13671875
23,5133.58837890625,10083.2578125,9504.8125
